年月,満足度,サポートサービス満足度,製品満足度,競合価格比
2019年1月,0.98,0.98,0.75,0.95
2019年2月,1,0.95,0.85,0.81
2019年3月,0.88,0.5,0.95,0.96
2019年4月,0.64,0.77,1,1.05
2019年5月,0.82,0.81,0.85,1.19
2019年6月,0.72,0.62,0.3,1.04
2019年7月,0.98,0.7,0.55,0.93
2019年8月,0.68,0.5,0.4,0.95
2019年9月,0.9,0.86,0.25,1.05
2019年10月,0.89,0.48,0.35,0.98
2019年11月,0.91,1,0.4,0.91
2019年12月,0.97,0.22,0.7,0.9
2020年1月,0.75,0.4,0.7,1.29
2020年2月,0.65,0.8,0.6,1.02
2020年3月,0.55,0.5,0.75,1.24
2020年4月,0.59,0.42,0.65,1.3
2020年5月,0.69,0.66,0.7,0.92
2020年6月,0.33,0.32,0.55,1.33
2020年7月,0.48,0.55,0.6,1.07
2020年8月,0.48,0.97,0.7,1.14
2020年9月,0.55,0.73,0.55,1.04
2020年10月,0.57,0.96,0.95,1.19
2020年11月,0.44,0.72,0.4,1.21
2020年12月,0.31,0.35,0.95,1.24
